step,revenue,orders_fulfilled,orders_rejected,restock_actions,avg_inventory
0,36.99,3,0,1,10.0
1,247.67000000000002,20,0,5,12.3
2,583.5800000000002,45,0,12,16.8
3,771.0200000000002,59,0,28,31.4
4,971.7100000000003,74,0,44,45.9
5,1139.9300000000003,87,0,61,61.6
6,1248.6700000000003,95,0,79,78.8
7,1595.6000000000004,121,0,99,96.2
8,1943.2500000000005,146,0,119,113.7
9,2217.45,166,0,139,131.7
10,2427.159999999999,182,0,159,150.1
11,2660.3499999999976,199,0,179,168.4
12,2900.5399999999963,218,0,199,186.5
13,3214.179999999994,242,0,219,204.1
14,3295.1699999999937,248,0,239,223.5
15,3666.849999999992,275,0,259,240.8
16,3954.2799999999907,297,0,279,258.6
17,4213.419999999988,316,0,299,276.7
18,4343.109999999987,327,0,319,295.6
19,4647.759999999985,350,0,339,313.3
20,4779.469999999984,360,0,359,332.3
21,5071.149999999982,382,0,379,350.1
22,5393.599999999981,407,0,399,367.6
23,5579.0199999999795,422,0,419,386.1
24,5772.469999999978,437,0,439,404.6
25,6009.6299999999765,455,0,459,422.8
26,6351.019999999974,481,0,479,440.2
27,6561.459999999973,497,0,499,458.6
28,6926.09999999997,523,0,519,476.0
29,7193.759999999968,543,0,539,494.0
30,7461.939999999967,563,0,559,512.0
31,7572.159999999966,571,0,579,531.2
32,7801.849999999965,589,0,599,549.4
33,8025.539999999964,605,0,619,567.8
34,8210.989999999963,618,0,639,586.5
35,8683.58999999996,654,0,659,602.9
36,8893.29999999996,669,0,679,621.4
37,9013.759999999958,679,0,699,640.4
38,9418.679999999957,710,0,719,657.3
39,9675.599999999955,730,0,739,675.3
40,9856.059999999954,743,0,759,694.0
41,10025.509999999953,757,0,779,712.6
42,10247.709999999952,774,0,799,730.9
43,10550.34999999995,797,0,819,748.6
44,10907.519999999948,823,0,839,766.0
45,11051.479999999947,834,0,859,784.9
46,11280.909999999945,852,0,879,803.1
47,11483.589999999944,867,0,899,821.6
48,11854.019999999942,894,0,919,838.9
49,11961.989999999942,902,0,939,858.1
50,12156.42999999994,919,0,959,876.4
51,12380.869999999939,935,0,979,894.8
52,12639.529999999937,956,0,999,912.7
53,12867.719999999936,974,0,1019,930.9
54,13160.109999999933,997,0,1039,948.6
55,13489.789999999932,1020,0,1059,966.3
56,13699.47999999993,1036,0,1079,984.7
57,14107.849999999928,1066,0,1099,1001.7
58,14208.079999999927,1074,0,1119,1020.9
59,14630.709999999925,1105,0,1139,1037.8
60,14860.659999999923,1123,0,1159,1056.0
61,15061.079999999922,1138,0,1179,1074.5
62,15333.50999999992,1159,0,1199,1092.4
63,15547.949999999919,1174,0,1219,1110.9
64,15842.339999999916,1197,0,1239,1128.6
65,15909.049999999916,1202,0,1259,1148.1
66,16317.669999999913,1232,0,1279,1165.1
67,16450.379999999917,1243,0,1299,1184.0
68,16599.829999999925,1254,0,1319,1202.9
69,16972.219999999943,1282,0,1339,1220.1
70,17251.409999999953,1302,0,1359,1238.1
71,17395.86999999996,1313,0,1379,1257.0
72,17638.28999999997,1330,0,1399,1275.3
73,17979.459999999985,1357,0,1419,1292.6
74,18089.939999999988,1365,0,1439,1311.8
75,18390.36,1386,0,1459,1329.7
76,18684.770000000015,1410,0,1479,1347.3
77,18780.73000000002,1418,0,1499,1366.5
78,19152.36000000004,1445,0,1519,1383.8
79,19274.830000000045,1455,0,1539,1402.8
80,19616.220000000063,1480,0,1559,1420.3
81,19808.150000000074,1495,0,1579,1438.8
82,20118.770000000095,1519,0,1599,1456.4
83,20202.010000000097,1525,0,1619,1475.8
84,20575.87000000012,1553,0,1639,1493.0
85,20683.330000000125,1561,0,1659,1512.2
86,20949.99000000014,1581,0,1679,1530.2
87,21135.43000000015,1596,0,1699,1548.7
88,21238.640000000156,1604,0,1719,1567.9
89,21606.790000000172,1632,0,1739,1585.1
90,21855.99000000018,1652,0,1759,1603.1
91,22253.630000000197,1683,0,1779,1620.0
92,22453.600000000202,1698,0,1799,1638.5
93,22570.80000000021,1707,0,1819,1657.6
94,22684.020000000215,1716,0,1839,1676.7
95,23133.100000000242,1749,0,1859,1693.4
96,23371.540000000252,1768,0,1879,1711.5
97,23578.75000000026,1784,0,1899,1729.9
98,24034.830000000286,1818,0,1919,1746.5
99,24205.530000000294,1830,0,1939,1765.3
100,24392.460000000305,1845,0,1959,1783.8
101,24616.140000000316,1860,0,1979,1802.3
102,24819.350000000322,1875,0,1999,1820.8
103,25077.530000000334,1894,0,2019,1838.9
104,25241.510000000337,1906,0,2039,1857.7
105,25559.160000000353,1930,0,2059,1875.3
106,25851.830000000366,1952,0,2079,1893.1
107,26169.24000000038,1976,0,2099,1910.7
108,26337.68000000039,1988,0,2119,1929.5
109,26663.320000000407,2014,0,2139,1946.9
110,26945.460000000425,2036,0,2159,1964.7
111,27043.17000000043,2043,0,2179,1984.0
112,27297.090000000444,2063,0,2199,2002.0
113,27649.190000000468,2090,0,2219,2019.3
114,27915.12000000048,2110,0,2239,2037.3
115,28034.340000000484,2119,0,2259,2056.4
116,28255.020000000495,2137,0,2279,2074.6
117,28549.410000000513,2159,0,2299,2092.4
118,28855.31000000053,2183,0,2319,2110.0
119,29014.510000000537,2195,0,2339,2128.8
120,29202.940000000548,2210,0,2359,2147.3
121,29658.070000000567,2245,0,2379,2163.8
122,29818.520000000575,2258,0,2399,2182.5
123,30082.200000000586,2277,0,2419,2200.6
124,30244.150000000594,2290,0,2439,2219.3
125,30659.010000000617,2320,0,2459,2236.3
126,30909.200000000626,2340,0,2479,2254.3
127,31077.630000000638,2353,0,2499,2273.0
128,31398.520000000655,2377,0,2519,2290.6
129,31696.190000000668,2401,0,2539,2308.2
130,31961.330000000686,2422,0,2559,2326.1
131,32118.31000000069,2434,0,2579,23 44.9
132,32292.0000000007,2447,0,2599,2363.6
133,32525.690000000708,2464,0,2619,2381.9
134,32828.85000000072,2486,0,2639,2399.7
135,33197.0100000007,2514,0,2659,2416.9
136,33470.15000000068,2534,0,2679,2434.9
137,33638.85000000067,2547,0,2699,2453.6
138,33833.52000000065,2562,0,2719,2472.1
139,34254.86000000062,2594,0,2739,2488.9
140,34357.58000000061,2602,0,2759,2508.1
141,34542.540000000605,2616,0,2779,2526.7
142,34919.41000000058,2645,0,2799,2543.8
143,35075.11000000057,2657,0,2819,2562.6
144,35307.78000000055,2675,0,2839,2580.8
145,35690.92000000053,2703,0,2859,2598.0
146,35961.36000000052,2724,0,2879,2615.9
147,36283.5200000005,2749,0,2899,2633.4
148,36493.450000000485,2766,0,2919,2651.7
149,36694.38000000047,2781,0,2939,2670.2
150,37024.54000000045,2806,0,2959,2687.7
151,37220.760000000446,2822,0,2979,2706.1
152,37430.700000000434,2838,0,2999,2724.5
153,37584.660000000425,2850,0,3019,2743.3
154,37778.860000000415,2864,0,3039,2761.9
155,38056.2800000004,2885,0,3059,2779.8
156,38436.93000000038,2912,0,3079,2797.1
157,38627.13000000037,2927,0,3099,2815.6
158,38813.09000000036,2941,0,3119,2834.2
159,39252.960000000334,2972,0,3139,2851.1
160,39354.95000000033,2980,0,3159,2870.3
161,39670.11000000031,3003,0,3179,2888.0
162,39782.83000000031,3011,0,3199,2907.2
163,40146.01000000029,3037,0,3219,2924.6
164,40342.170000000275,3052,0,3239,2943.1
165,40588.84000000026,3070,0,3259,2961.3
166,40860.020000000244,3090,0,3279,2979.3
167,41100.69000000023,3108,0,3299,2997.5
168,41157.15000000022,3113,0,3319,3017.0
169,41472.3000000002,3137,0,3339,3034.6
170,41829.96000000018,3163,0,3359,3052.0
171,42049.680000000175,3180,0,3379,3070.3
172,42187.16000000017,3191,0,3399,3089.2
173,42492.07000000015,3215,0,3419,3106.8
174,42629.54000000015,3225,0,3439,3125.8
175,43080.390000000116,3259,0,3459,3142.4
176,43233.37000000011,3271,0,3479,3161.2
177,43549.790000000095,3298,0,3499,3178.5
178,43747.73000000008,3312,0,3519,3197.1
179,43990.40000000007,3331,0,3539,3215.2
180,44155.37000000006,3345,0,3559,3233.8
181,44251.090000000055,3352,0,3579,3253.1
182,44480.53000000004,3368,0,3599,3271.5
183,44760.450000000026,3389,0,3619,3289.4
184,45016.62000000001,3408,0,3639,3307.5
185,45328.75999999999,3430,0,3659,3325.3
186,45498.70999999998,3443,0,3679,3344.0
187,45601.92999999997,3451,0,3699,3363.2
188,45933.56999999995,3475,0,3719,3380.8
189,46201.48999999993,3495,0,3739,3398.8
190,46411.68999999992,3511,0,3759,3417.2
191,46783.8399999999,3538,0,3779,3434.5
192,46959.53999999989,3551,0,3799,3453.2
193,47205.459999999875,3569,0,3819,3471.4
194,47514.87999999986,3592,0,3839,3489.1
195,47739.54999999984,3609,0,3859,3507.4
196,48016.99999999983,3631,0,3879,3525.2
197,48170.93999999982,3642,0,3899,3544.1
198,48474.559999999794,3665,0,3919,3561.8
199,48621.269999999786,3677,0,3939,3580.6
